"Step","lora_int8 - l1_noise_delta","lora_int8 - l1_noise_delta__MIN","lora_int8 - l1_noise_delta__MAX"
"8","0.0026297300257321484","0.0026297300257321484","0.0026297300257321484"
"17","0.0007180848098173556","0.0007180848098173556","0.0007180848098173556"
"26","0.0007356298143433421","0.0007356298143433421","0.0007356298143433421"
"35","0.00022568536448920143","0.00022568536448920143","0.00022568536448920143"
"44","0.010304512054564154","0.010304512054564154","0.010304512054564154"
"53","0.00043904943082438735","0.00043904943082438735","0.00043904943082438735"
"62","0.0012459553121819905","0.0012459553121819905","0.0012459553121819905"
"71","0.00033055910335610874","0.00033055910335610874","0.00033055910335610874"
"80","0.010812432070801724","0.010812432070801724","0.010812432070801724"
"89","0.001053934619519201","0.001053934619519201","0.001053934619519201"
"98","0.00201955196019848","0.00201955196019848","0.00201955196019848"
"107","0.003319346772817454","0.003319346772817454","0.003319346772817454"
"116","0.020009238097108025","0.020009238097108025","0.020009238097108025"
"125","0.000728488531112027","0.000728488531112027","0.000728488531112027"
"134","0.0020645382638623056","0.0020645382638623056","0.0020645382638623056"
"143","0.0003783792209862979","0.0003783792209862979","0.0003783792209862979"
"152","0.024728919736656235","0.024728919736656235","0.024728919736656235"
"161","0.0009264002604645964","0.0009264002604645964","0.0009264002604645964"
"170","0.0028783971344213217","0.0028783971344213217","0.0028783971344213217"
"179","0.0018817228335774407","0.0018817228335774407","0.0018817228335774407"
"188","0.024815128896778636","0.024815128896778636","0.024815128896778636"
"197","0.0012742131255115766","0.0012742131255115766","0.0012742131255115766"
"206","0.002878350167252742","0.002878350167252742","0.002878350167252742"
"215","0.0005467857894754433","0.0005467857894754433","0.0005467857894754433"
"224","0.024666349786742366","0.024666349786742366","0.024666349786742366"
"233","0.0013621684241146752","0.0013621684241146752","0.0013621684241146752"
"242","0.0043321477337838485","0.0043321477337838485","0.0043321477337838485"
"251","0.0012439379303746995","0.0012439379303746995","0.0012439379303746995"
"260","0.024137950843167992","0.024137950843167992","0.024137950843167992"
"269","0.0021909361142981145","0.0021909361142981145","0.0021909361142981145"
"278","0.005523001800830762","0.005523001800830762","0.005523001800830762"
"287","0.002741775963281483","0.002741775963281483","0.002741775963281483"
"296","0.024229167423172274","0.024229167423172274","0.024229167423172274"
"305","0.0019817822504482672","0.0019817822504482672","0.0019817822504482672"
"314","0.005496819991828996","0.005496819991828996","0.005496819991828996"
"323","0.002186973809652241","0.002186973809652241","0.002186973809652241"
"332","0.024823492492629502","0.024823492492629502","0.024823492492629502"
"341","0.002982753301548509","0.002982753301548509","0.002982753301548509"
"350","0.005409675267922829","0.005409675267922829","0.005409675267922829"
"359","0.001883488495953961","0.001883488495953961","0.001883488495953961"
"368","0.02479027989761623","0.02479027989761623","0.02479027989761623"
"377","0.003461467752297987","0.003461467752297987","0.003461467752297987"
"386","0.006063248229865469","0.006063248229865469","0.006063248229865469"
"395","0.002143866846623145","0.002143866846623145","0.002143866846623145"
"404","0.02427494579119164","0.02427494579119164","0.02427494579119164"
"413","0.0033090554255213725","0.0033090554255213725","0.0033090554255213725"
"422","0.006092227414816141","0.006092227414816141","0.006092227414816141"
"431","0.0022690307242190233","0.0022690307242190233","0.0022690307242190233"
"440","0.022480840420121072","0.022480840420121072","0.022480840420121072"
"449","0.0030201899737017394","0.0030201899737017394","0.0030201899737017394"
"458","0.0060992339990674355","0.0060992339990674355","0.0060992339990674355"
"467","0.002511325710436726","0.002511325710436726","0.002511325710436726"
"476","0.022006437045228547","0.022006437045228547","0.022006437045228547"
"485","0.004220341893080958","0.004220341893080958","0.004220341893080958"
"494","0.006267958777975001","0.006267958777975001","0.006267958777975001"
"503","0.002778856582147789","0.002778856582147789","0.002778856582147789"
"512","0.023479659612406403","0.023479659612406403","0.023479659612406403"
"521","0.0037603805901304617","0.0037603805901304617","0.0037603805901304617"
"530","0.006441069722512653","0.006441069722512653","0.006441069722512653"
"539","0.0031547179614434453","0.0031547179614434453","0.0031547179614434453"
"548","0.022978121126887213","0.022978121126887213","0.022978121126887213"
"557","0.005563246966493863","0.005563246966493863","0.005563246966493863"
"566","0.006557149819865419","0.006557149819865419","0.006557149819865419"
"575","0.003256183114225683","0.003256183114225683","0.003256183114225683"
"584","0.023014378409873512","0.023014378409873512","0.023014378409873512"
"593","0.004213894216603195","0.004213894216603195","0.004213894216603195"
"602","0.006530131091671871","0.006530131091671871","0.006530131091671871"
"611","0.003210592301255921","0.003210592301255921","0.003210592301255921"
"620","0.021012792644927177","0.021012792644927177","0.021012792644927177"
"629","0.006254118553625863","0.006254118553625863","0.006254118553625863"
"638","0.007408363648374095","0.007408363648374095","0.007408363648374095"
"647","0.004741059474414796","0.004741059474414796","0.004741059474414796"
"656","0.02540314702971886","0.02540314702971886","0.02540314702971886"
"665","0.006331639009759875","0.006331639009759875","0.006331639009759875"
"674","0.007780889174023255","0.007780889174023255","0.007780889174023255"
"683","0.005569305862439823","0.005569305862439823","0.005569305862439823"
"692","0.024928456161621596","0.024928456161621596","0.024928456161621596"
"701","0.004852480112911199","0.004852480112911199","0.004852480112911199"
"710","0.008239129877239628","0.008239129877239628","0.008239129877239628"
"719","0.005686439156461285","0.005686439156461285","0.005686439156461285"
"728","0.02595202087637157","0.02595202087637157","0.02595202087637157"
"737","0.006047515503695139","0.006047515503695139","0.006047515503695139"
"746","0.008097762611311433","0.008097762611311433","0.008097762611311433"
"755","0.0056876949079969884","0.0056876949079969884","0.0056876949079969884"
"764","0.024241113528322443","0.024241113528322443","0.024241113528322443"
"773","0.008492005455272587","0.008492005455272587","0.008492005455272587"
"782","0.00892417189890526","0.00892417189890526","0.00892417189890526"
"791","0.008124785010755793","0.008124785010755793","0.008124785010755793"
"800","0.02479725938825923","0.02479725938825923","0.02479725938825923"
"809","0.007470730744239594","0.007470730744239594","0.007470730744239594"
"818","0.009412304186322499","0.009412304186322499","0.009412304186322499"
"827","0.009209288601409078","0.009209288601409078","0.009209288601409078"
"836","0.024843828884111605","0.024843828884111605","0.024843828884111605"
"845","0.006581849337859767","0.006581849337859767","0.006581849337859767"
"854","0.00918482555778669","0.00918482555778669","0.00918482555778669"
"863","0.00977188860335005","0.00977188860335005","0.00977188860335005"
"872","0.02486901912833454","0.02486901912833454","0.02486901912833454"
"881","0.008782254800229065","0.008782254800229065","0.008782254800229065"
"890","0.009472410909356915","0.009472410909356915","0.009472410909356915"
"899","0.011826594774191353","0.011826594774191353","0.011826594774191353"
"908","0.023863407332915334","0.023863407332915334","0.023863407332915334"
"917","0.010698308936522375","0.010698308936522375","0.010698308936522375"
"926","0.010273503217690888","0.010273503217690888","0.010273503217690888"
"935","0.011574416757231105","0.011574416757231105","0.011574416757231105"
"944","0.025097970980133992","0.025097970980133992","0.025097970980133992"
"953","0.008337468750401684","0.008337468750401684","0.008337468750401684"
"962","0.010163718994113394","0.010163718994113394","0.010163718994113394"
"971","0.011265731925631736","0.011265731925631736","0.011265731925631736"
"980","0.022656934456519433","0.022656934456519433","0.022656934456519433"
"989","0.009552348316703577","0.009552348316703577","0.009552348316703577"
"998","0.010714622615870993","0.010714622615870993","0.010714622615870993"
"1007","0.011780914852431018","0.011780914852431018","0.011780914852431018"
"1016","0.023428336889075835","0.023428336889075835","0.023428336889075835"
"1025","0.0106793862070729","0.0106793862070729","0.0106793862070729"
"1034","0.011400586595369806","0.011400586595369806","0.011400586595369806"
"1043","0.026125628014650338","0.026125628014650338","0.026125628014650338"
"1052","0.02086912514980335","0.02086912514980335","0.02086912514980335"
"1061","0.014006384261232834","0.014006384261232834","0.014006384261232834"
"1070","0.0141199425139499","0.0141199425139499","0.0141199425139499"
"1079","0.04588367349458705","0.04588367349458705","0.04588367349458705"
"1088","0.018874177273093085","0.018874177273093085","0.018874177273093085"
"1097","0.020292785690928256","0.020292785690928256","0.020292785690928256"
"1106","0.015309282289972255","0.015309282289972255","0.015309282289972255"
"1115","0.027756289554501542","0.027756289554501542","0.027756289554501542"
"1124","0.018442342877206544","0.018442342877206544","0.018442342877206544"
"1133","0.028552793836839816","0.028552793836839816","0.028552793836839816"
"1142","0.017109952950942843","0.017109952950942843","0.017109952950942843"
"1151","0.11901407864112931","0.11901407864112931","0.11901407864112931"
