"Step","lora_int8 - original_l1_noise","lora_int8 - original_l1_noise__MIN","lora_int8 - original_l1_noise__MAX"
"8","0.0028366284675044886","0.0028366284675044886","0.0028366284675044886"
"17","0.0008448983574206791","0.0008448983574206791","0.0008448983574206791"
"26","0.0011583941774985457","0.0011583941774985457","0.0011583941774985457"
"35","0.000362257576442638","0.000362257576442638","0.000362257576442638"
"44","0.010965054096178758","0.010965054096178758","0.010965054096178758"
"53","0.0007338553914981752","0.0007338553914981752","0.0007338553914981752"
"62","0.0022203441439212477","0.0022203441439212477","0.0022203441439212477"
"71","0.0006119428120229988","0.0006119428120229988","0.0006119428120229988"
"80","0.011719079454859699","0.011719079454859699","0.011719079454859699"
"89","0.0015585200186999822","0.0015585200186999822","0.0015585200186999822"
"98","0.0035792409055852383","0.0035792409055852383","0.0035792409055852383"
"107","0.003771155308106826","0.003771155308106826","0.003771155308106826"
"116","0.02234291520487017","0.02234291520487017","0.02234291520487017"
"125","0.0014508041041481502","0.0014508041041481502","0.0014508041041481502"
"134","0.004270172970233888","0.004270172970233888","0.004270172970233888"
"143","0.0010715420011958973","0.0010715420011958973","0.0010715420011958973"
"152","0.028828335695017596","0.028828335695017596","0.028828335695017596"
"161","0.0017411238096358974","0.0017411238096358974","0.0017411238096358974"
"170","0.005537719568724736","0.005537719568724736","0.005537719568724736"
"179","0.0027992938729910766","0.0027992938729910766","0.0027992938729910766"
"188","0.029729413448831035","0.029729413448831035","0.029729413448831035"
"197","0.002328777776863539","0.002328777776863539","0.002328777776863539"
"206","0.005942258413305241","0.005942258413305241","0.005942258413305241"
"215","0.001697866961046792","0.001697866961046792","0.001697866961046792"
"224","0.03051136281253057","0.03051136281253057","0.03051136281253057"
"233","0.0031088545916929545","0.0031088545916929545","0.0031088545916929545"
"242","0.008255531196875342","0.008255531196875342","0.008255531196875342"
"251","0.0030302765127938787","0.0030302765127938787","0.0030302765127938787"
"260","0.03147480093890583","0.03147480093890583","0.03147480093890583"
"269","0.0044819498185488605","0.0044819498185488605","0.0044819498185488605"
"278","0.010396740585771315","0.010396740585771315","0.010396740585771315"
"287","0.0053140350959819","0.0053140350959819","0.0053140350959819"
"296","0.032586657225115286","0.032586657225115286","0.032586657225115286"
"305","0.005037559047253552","0.005037559047253552","0.005037559047253552"
"314","0.011020225035481628","0.011020225035481628","0.011020225035481628"
"323","0.005259781963300025","0.005259781963300025","0.005259781963300025"
"332","0.03348548221220152","0.03348548221220152","0.03348548221220152"
"341","0.006700024969952859","0.006700024969952859","0.006700024969952859"
"350","0.011238809771677431","0.011238809771677431","0.011238809771677431"
"359","0.005238860969323852","0.005238860969323852","0.005238860969323852"
"368","0.03472832951164975","0.03472832951164975","0.03472832951164975"
"377","0.007795029307189737","0.007795029307189737","0.007795029307189737"
"386","0.012439944285501395","0.012439944285501395","0.012439944285501395"
"395","0.0061540945507756115","0.0061540945507756115","0.0061540945507756115"
"404","0.03468078635978535","0.03468078635978535","0.03468078635978535"
"413","0.008552925090641905","0.008552925090641905","0.008552925090641905"
"422","0.012944118912206334","0.012944118912206334","0.012944118912206334"
"431","0.006753551200295836","0.006753551200295836","0.006753551200295836"
"440","0.034356564004873524","0.034356564004873524","0.034356564004873524"
"449","0.008293784913257482","0.008293784913257482","0.008293784913257482"
"458","0.013097487535333366","0.013097487535333366","0.013097487535333366"
"467","0.00726299218417828","0.00726299218417828","0.00726299218417828"
"476","0.034326891200658245","0.034326891200658245","0.034326891200658245"
"485","0.01007353697255821","0.01007353697255821","0.01007353697255821"
"494","0.013616444251054068","0.013616444251054068","0.013616444251054068"
"503","0.007881353381405679","0.007881353381405679","0.007881353381405679"
"512","0.03569245406302383","0.03569245406302383","0.03569245406302383"
"521","0.01103700617654117","0.01103700617654117","0.01103700617654117"
"530","0.013942204991959292","0.013942204991959292","0.013942204991959292"
"539","0.008748735207147999","0.008748735207147999","0.008748735207147999"
"548","0.03567124357339259","0.03567124357339259","0.03567124357339259"
"557","0.013694568880152636","0.013694568880152636","0.013694568880152636"
"566","0.014569896951646804","0.014569896951646804","0.014569896951646804"
"575","0.009590615056586855","0.009590615056586855","0.009590615056586855"
"584","0.036715247252828015","0.036715247252828015","0.036715247252828015"
"593","0.011952948042006173","0.011952948042006173","0.011952948042006173"
"602","0.014736199243473908","0.014736199243473908","0.014736199243473908"
"611","0.009685288030708873","0.009685288030708873","0.009685288030708873"
"620","0.035053759636474856","0.035053759636474856","0.035053759636474856"
"629","0.015214311115080287","0.015214311115080287","0.015214311115080287"
"638","0.016748778484728808","0.016748778484728808","0.016748778484728808"
"647","0.01342546991380155","0.01342546991380155","0.01342546991380155"
"656","0.040389018786531776","0.040389018786531776","0.040389018786531776"
"665","0.016372609361278125","0.016372609361278125","0.016372609361278125"
"674","0.01795536348524185","0.01795536348524185","0.01795536348524185"
"683","0.01538833806733496","0.01538833806733496","0.01538833806733496"
"692","0.0406216661263354","0.0406216661263354","0.0406216661263354"
"701","0.013491912523508898","0.013491912523508898","0.013491912523508898"
"710","0.018738225673057062","0.018738225673057062","0.018738225673057062"
"719","0.015422251581144256","0.015422251581144256","0.015422251581144256"
"728","0.04186315116023508","0.04186315116023508","0.04186315116023508"
"737","0.014965986045742577","0.014965986045742577","0.014965986045742577"
"746","0.01905635718348171","0.01905635718348171","0.01905635718348171"
"755","0.01634710417065295","0.01634710417065295","0.01634710417065295"
"764","0.040370437005960075","0.040370437005960075","0.040370437005960075"
"773","0.019644511350971575","0.019644511350971575","0.019644511350971575"
"782","0.020596797101912166","0.020596797101912166","0.020596797101912166"
"791","0.021011255028209396","0.021011255028209396","0.021011255028209396"
"800","0.04174005096139552","0.04174005096139552","0.04174005096139552"
"809","0.017809251651635334","0.017809251651635334","0.017809251651635334"
"818","0.022017385000050335","0.022017385000050335","0.022017385000050335"
"827","0.02483846182888783","0.02483846182888783","0.02483846182888783"
"836","0.04347640293875604","0.04347640293875604","0.04347640293875604"
"845","0.016751990303631448","0.016751990303631448","0.016751990303631448"
"854","0.02267965656292615","0.02267965656292615","0.02267965656292615"
"863","0.02749783615570266","0.02749783615570266","0.02749783615570266"
"872","0.0443997599416719","0.0443997599416719","0.0443997599416719"
"881","0.02093092434975496","0.02093092434975496","0.02093092434975496"
"890","0.023934870080284422","0.023934870080284422","0.023934870080284422"
"899","0.031593068446280584","0.031593068446280584","0.031593068446280584"
"908","0.04482358569663114","0.04482358569663114","0.04482358569663114"
"917","0.022742506385998933","0.022742506385998933","0.022742506385998933"
"926","0.025385478990403925","0.025385478990403925","0.025385478990403925"
"935","0.03331758315734462","0.03331758315734462","0.03331758315734462"
"944","0.04577966865179314","0.04577966865179314","0.04577966865179314"
"953","0.021327232857923182","0.021327232857923182","0.021327232857923182"
"962","0.02623838701801872","0.02623838701801872","0.02623838701801872"
"971","0.0339409681143547","0.0339409681143547","0.0339409681143547"
"980","0.044015129017092675","0.044015129017092675","0.044015129017092675"
"989","0.02360196881043994","0.02360196881043994","0.02360196881043994"
"998","0.027274127923018525","0.027274127923018525","0.027274127923018525"
"1007","0.03553078572878794","0.03553078572878794","0.03553078572878794"
"1016","0.04528708783996172","0.04528708783996172","0.04528708783996172"
"1025","0.02761049095936981","0.02761049095936981","0.02761049095936981"
"1034","0.028819405461908348","0.028819405461908348","0.028819405461908348"
"1043","0.05136169614574101","0.05136169614574101","0.05136169614574101"
"1052","0.04271222040830205","0.04271222040830205","0.04271222040830205"
"1061","0.0341415086027448","0.0341415086027448","0.0341415086027448"
"1070","0.03220219371288262","0.03220219371288262","0.03220219371288262"
"1079","0.07286753617569793","0.07286753617569793","0.07286753617569793"
"1088","0.03993421396508024","0.03993421396508024","0.03993421396508024"
"1097","0.04456088116365503","0.04456088116365503","0.04456088116365503"
"1106","0.03384894499113686","0.03384894499113686","0.03384894499113686"
"1115","0.055290030124377214","0.055290030124377214","0.055290030124377214"
"1124","0.03786833788787422","0.03786833788787422","0.03786833788787422"
"1133","0.05124363300246037","0.05124363300246037","0.05124363300246037"
"1142","0.03392324194014383","0.03392324194014383","0.03392324194014383"
"1151","0.15143706670946097","0.15143706670946097","0.15143706670946097"
